Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
URBAN ECHOES,2013,"Finland, Oulu",Communicative and interactive park lighting,"['#Finland', '#2013', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/134/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/134,"Adaptive Urban Lighting project, Oulu School of Architecture, University of Oulu",,"Henrika Pihlajaniemi, Toni í–sterlund, Tuulikki Tanska, Aulikki Herneoja &amp; Anniina Valjus, Adaptive Urban Lighting project, Oulu School of Architecture, University of Oulu",,UNStudio and Arup Lighting,,,,,,Front faíçade: curtain wall with sunscreen made of aluminum lamellas and glass fins with dot frit and integrated edge lighting; back faíçade: aluminum paneling,"Custom made full color LED edge lighting profiles integrated with glass holding fixtures on bottom of glass fins with modular length; the lighting fixture is designed with a combined optic of a condenser lens just above the LED and a linear Fresnel lens to distribute the light evenly across the entire length of the glass panel; the glass fins have screen printed dot frit to spread the light, therefore the become aglow;","Low resolution - 2500 LED light modules (each 10 Watt) are integrated into the window frame, illuminating the frit, and allowing each glass fin to become a self-illuminating pixel by night; the lighting is programmed to create color flows that follow the dynamic pattern of the glass fins","The building is situated on a roundabout, the sunscreen faíçade appears dynamic on the convex shaped building as it is changing due to the viewers standpoint; at night the fins glow, visible from all angles and from long distances.","The storyboard was developed based on different lighting scenes for different events, the theme of the 'rising star' combined the various sequences that were designed in aftereffects and applied to the control system programming.",,,,,,,,,,,,,,,,,"The operation of the faíçade starts at twilight and does not need to be visible during daylight, however the building is situated in a dense urban environment with high ambient light levels. It was required for the faíçade lighting to stand out against the city lighting without being too overpowering, and also to be visible in front of the interior lighting.",
STAR PLACE,2008,"Taiwan, Kaohsiung",Fluent forms,"['#Taiwan', '#2008', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/135/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/135,President Group,UNStudio,,Kopeg Engineering,ag Licht,,,,,,,,both low resolution media walls and high resolution screens,marks the entrance to a new development area,"faíçade animations refer to the themes related to the department store: fashion, events, art and public life",,,,,,,,,,,,UNStudio,,,,,"During the day the building has a monochrome reflective appearance, whilst at night soft colours are used to generate waves of coloured light across the faíçade.",
GALLERIA CENTERCITY,2010,"South Korea, Cheonan",Department store media faíçade,"['#South Korea', '#2010', '#Branded Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/136/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/136,Hanwha Galleria Co. LTD,UNStudio,,Litestructures,Jason Bruges Studio,,,,,,"12m high â€žWater Fall"" sculpture and seven 8m long â€žWater Rill"" benches","thousands of LCD monitors, that are programmed individually",,located at a main pedestrian route,simulation of a waterfall,,,,,,,,,,,,,,,,,,
DIGITAL FOUNTAIN,2011,"United Kingdom, London",Digital Fountain,"['#United Kingdom', '#2011', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/137/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/137,Westfield Stratford City,,Jason Bruges Studio,,Atelier dada,,,AHL,AHL,"Atelier dada, AHL","Front faíçade with office space behind is made of aluminum sunscreen and glazing. Fixed and operable glazing is shaded by deep horizontal fixed louvers supported by vertical and irregular diagonal members, all made of custom aluminum extruded sections. Rear faíçade has straircase and services which has punctured brick masonry and is again further shaded by thin aluminum louvers.","Linear LED bars of 1000mm, 500mm and 250mm lengths were fitted in diagonal elements of the sun screen. The profiles were chosen for compactness (32X35mm) and ability to carry data and power cables at the same time. The diagonal elements were designed to retain the LED profile flush to the surface. The profiles were press fitted within custom designed clamps that hold and let data and power cables pass.",Linear media bars have 48 RGB LED dots per 1000mm. Each LED is individually addressable to show a smooth movement. Pixels are oriented away from the interior glazed walls to avoid disturbances at offices behind the faíçade.,"The building is situated at the cross roads of booming cultural (Anand nagar road) and commercial (SG Highway) streets of around 30m and 60m widths respectively. The curved form of the media faíçade offers visibility from far away even when traveling parallel to it. Although, unplanned public streetlights and bright billboards around do not remain out of notice.","The faíçade displays only artistic contents and is strictly not to be used for any commercial use. At present it has different contents for weekdays, weekends and individual festivals of major Indian religions.",,Atelier dada,,,,,,,,,,BES Consultants,,,,20mm LED pitch,The faíçade is white and reflects light smoothly by day and night. Medium brightness LEDs were chosen to be visible from far yet to be comfortable from near vision. Installation is limited to the diagonal elements of the sunscreens. The faíçade lighting is being used only after dusk till 11pm throughout the year.,
MONDEAL SQUARE,2014,"India, Ahmedabad",Enjoy your Breeze!,"['#India', '#2014', '#Branded Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/138/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/138,HN Safal Developers + Goyal&amp; Co.,Blocher Blocher India,Atelier dada,,Treusch architecture ZT GmbH,,,Multivision Anzeigesysteme Ges.m.b.H,Multivision Anzeigesysteme Ges.m.b.H,,"The main building and the extension are both encased with a structure made of steel and glass. This construction makes it into one single architectural unit - a crystal, comprised in the performance.",The partly transparent (VSG clear glass) and partly matt laminated glass panels (VSG with master POINT) are illuminated from the back space in between: 40.000 LEDs lighten a 5.000 mÂ² large building cover and produce an exciting play of light and color at night.,Each of the 1.100 glass slabs of 3.6 m width and 1.15 m height represents one pixel of the whole light performance.,"The urban concept is based on the principle of dialogue between architecture and environment with due consideration to important factors, such as preserving the view across the River Danube and protecting the surrounding historic buildings, in order to create an attractive ambience.",,,,,,,,,,,,,,,,,,At dawn the faíçade will use 100% of the luminosity. However at darkness 20 - 30 % is sufficient.,
AEC - ARS ELECTRONICA CENTER,2008,"Austria, Linz",Ars Electronica Center,"['#Austria', '#2008', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/139/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/139,"City of Linz, represented by Immobilien Linz GmbH und CoKEG",Arch. Dipl-Ing. Andreas Treusch - Treusch architecture ZT GmbH,,,"Galaxia Electronics, Seoul, Korea",,,,,,Glas building faíçades with integrated edge lighting. Seperate motorized split-screen LED video wall using Winvision LED modules.,"Animated full colour spectrum effects generating mood and emotive atmosphere, using non-obtrusive ultra-low-profile edge lighting of individual window panes.",,,,,,,,,,,,,,,,,,,,,
FLOATING ISLAND,2011,"South Korea, Seoul",3 floating lantern islands on the Han River,"['#South Korea', '#2011', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/140/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/140,Flossom,HAEAHN,,,,,,"elfab AG, Industrial Micro Systems AG",,,,"LED strings of variable length; Voxel (i.e. volumetric pixel): Sphere with minimal diameter of 40mm, 4 SMD LEDs each (2 x 2 configuration); Refresh rate of 25 Hz; Control: each voxel can be addressed individually; Pitch: variable in x-, y-, z-axis; Color Depth of 16 million colors",,,,,,,,,,,,,,,,,,,,,
DISTRIBUTED PROJECTION STRUCTURE 2004,2004,"Spain, Sweden, Hungary, Finland, Switzerland,",Distributed Projection Structure 2004,"['#Spain', '#Sweden', '#Hungary', '#Finland', '#Switzerland', '#2004', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/142/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/142,aether architecture,"adam somlai-fischer, anita pozna, peter sandor nagy, bengt sjolen",,,Brian W. Brush,,,"Minar Illumination, China","Madrix Plexus by inoage GmbH, Dresden",Noa Younse,"Suspended ceiling assembly. 1000 linear catenary fiber optic cables in continuously differentiating pattern. Mirrored across central axis of space. Connected to triangulated grid of end points on two opposing walls and a perforated panel mounted on a central column. Central column is cantilevered from the floor, anchored directly to the slab, and supports illumination equipment and power.","Illuminated side-glow and end-glow fiber optic cables. Transmits light instantly emanating in all directions as a ""vector"" of light as well as a prismatic point light at the end of the cable. Light is brightest at the source, emphasizing the ""spinal chord"" behavior of the project. 7 primary colors indexed to the type of library media shown.",Low resolution - 1000 illuminated fiber cables powered by 44 40W LED illuminators. 7 primary colors indexed to the type of library media shown. Illuminators also programmed to make sound corresponding to different timed programs.,"The building is in the core of the small city and highly visible. The lobby is a recent addition with a double height glass atrium that the project occupies. Passersby can see the project easily and are often drawn in to look. The building is itinerant with bus stops on 2 sides of the site, making the lobby an interior pathway for riders. The project is a beacon in the urban night afterhours.","The main ""show"" of the project is the live visualization of library searches. The companion display in the lobby cycles through various statistical graphs related to when searches take place, what topics are searched, and what content is checked out.",,Jackson Hole Public Art,,,,,,,,,,,,,,"Pixel as a vector: variable 5m-20m long, spaced 1mm to 20cm apart",Medium brightness during day. Very bright at night. Normal operations of the space cannot be disrupted by the light and that was a serious design consideration.,
FILAMENT MIND,2013,"United States of America, Jackson, Wyoming",Luminous Community 'Connectome',"['#United States of America', '#2013', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/143/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/143,Teton County Library,Gilday Architects,Brian W. Brush with Yong Ju Lee,,Diamond Schmitt Architects with Consullux,,,300mm GVA Lighting STR9 fixtures with custom sizes and brackets,"DMX by Eflux, OSC",Robert Tu,Wraparound faíçade of variable dimensions consisting of 727 3'x8' backlit translucent glass panels.,Custom made full color LED fixtures mounted on custom brackets behind 3'x8' translucent glass panels backlit by 2 fixtures each. The glass panels are frosted to spread the light.,Low resolution - 1400 LED light modules (each 15-20 W) are integrated into custom brackets on the exterior of the building which support glass panels. Each panel becomes an illuminated pixel by night; the lighting is programmed to create color flows that travel around the building to emphasize the wraparound faíçade.,This building is just one block away from the centre of the city. It can be viewed locally from street level and from many of the high-rise buildings surrounding it.,"The faíçade displays our artistic intervention using the faíçade. We explain the rationale, function, and goals of the project.",,Diamond Schmitt Architects,,,,,,,,,,Diamond Schmitt Architects with Consullux,,,,1.5' horizontal by 8' vertical,Medium brightness - the faíçade operates after sundown.,
"IN THE AIR, TONIGHT",2014,"Canada, Toronto",Critical Public Data Visualization,"['#Canada', '#2014', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/144/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/144,Ryerson University,Diamond Schmitt Architects,Diamond Schmitt Architects,,Speirs &amp; Major,,,The Light Lab,Pharos,"Miriam Sleeman and Tom Sloan, Control Lighting Ltd","2.5m high x 1.25m wide translucent white glass panes, invisibly joined together to create a continuous, 90m long curved wall surface.","Glass panes are backlit with individually controllable LED fittings capable of mixing and emitting the full RGB spectrum alongside a white light spectrum of 3.0K to 6.0K. The LED fittings distribute light evenly across the glazing, creating a soft and seamless curved appearance with no shadow lines throughout.","370 2.5m high vertical LED fittings (each 48 Watts max) rear illuminate the glazing of the lightwall. Connected in pairs, 185 individually controllable full colour linear 'pixels' are created across the entire length and surface of the glazed wall. The LED fittings provides the ability to produce both beautiful pastel shades as well as intense, saturated colours; all of which can be animated.","The art wall leads into one King's Cross St Pancras Underground station, connecting the station to the entrance level of the David Chipperfield Architect-designed One Pancras Square.","The light wall displays animated ranges of colours sampled from digital images of Kings Cross, hence the name 'pipette'. The colours gently order, shuffle and reorder themselves over the course of the day.",,King's Cross Central Limited Partnership (KCCLP),,,,,,,,,,,,,,50 centimeters,"Medium to low brightness. The illumination from the lightwall subtly augments the ceiling lights in the tunnel. The tunnel is open to pedestrians from Monday-Sunday, 7am until 8pm.",
PIPETTE,2014,"United Kingdom, London",A tapestry of light,"['#United Kingdom', '#2014', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/145/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/145,King's Cross Central Limited Partnership (KCCLP),Allies and Morrison,Miriam Sleeman and Tom Sloan (for Content on light wall); Speirs &amp; Major (for Conception of light wall),,,,,,Antoine Schmitt,,,Home commputer screen lighting windows from the inside.,All computers are connected and synchronized through internet.,"Neighborhoods, whole cities.","It is a specific, abstract, rhythmic composition. It is generative : it always evolves and never repeats itself.",,,,,,,,,,,,,,,,,,
CITY LIGHTS ORCHESTRA,2015,"France, Strasbourg, Orlí©ans, Mulhouse, Reims, etc..",a participative visual symphony for city windows,"['#France', '#2015', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/146/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/146,,,Antoine Schmitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPINE,2012,"Denmark, Aarhus",Spatial mechanical interactive installation,"['#Denmark', '#2012', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/147/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/147,,,,,"PIT &amp; CAVI, Aarhus University",,,AHL Lighting Group,,,"Chains of LEDs fixed on a steel frame. Four bands, attached to the railings.",Custom made full color LED lighting chains.,Four low resolution LED bands that wrap around the tower. 8 x ~45 pixels for each side.,"The city hall tower can be seen from almost anywhere in the city. It creates a common reference point, in this case for the state of the city.","PIT &amp; CAVI, Aarhus University",,"PIT &amp; CAVI, Aarhus University",,,,,,,,,,"PIT &amp; CAVI, Aarhus University, and Media Architecture Institute",,,,,,
CITY BUG REPORT,2012,"Denmark, Aarhus",City hall tower with media faíçade,"['#Denmark', '#2012', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/148/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/148,Aarhus City Hall,,"PIT &amp; CAVI, Aarhus University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENDELSSOHN EFFEKTORIUM,2014,"Germany, Leipzig",Virtual orchestra for the Mendelssohn-Bartholdy Museum Leipzig,"['#Germany', '#2014', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/149/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/149,Mendelssohn-Bartholdy Museum Leipzig,,WHITEvoid,,Jean Dubois / Ghyslain Gagnon / Sí©bastien Romprí© / Jean-Philippe Cí´tí© / Katherine Ste-Marie / Sí©bastien Langevin,,,,Madrix,,,"146m of translucent acrylic tubes are lighted by individually controlled RGB LEDs inside the tubes. The semi-opacity of the tube gives the impression a continuous flow of light, with undistinguishable pixels.","The lighting system in laid out as two (both tunnel sides) 3 x 400 pixel matrices. These matrices are controlled by a PC running Madrix software, through 8481 DMX512 channels.","The artwork is installed in the main tunnel between two buildings of École de technologie supí©rieure, one of the largest engineering school in Canada, situated in downtown Montreal.","The system cycles between different patterns: running flows of light through the tubes, alternating solid colors, all with interactive control through sound.",,Ghyslain Gagnon,,,,,,,,,,,,,,5 cm,"The system provides the only lighting source in the tunnel, 24/7, although an emergency auxiliary lighting system can be turned on in case of failure of the artwork.",
LE CIRCUIT DE BACHELARD,2014,"Canada, Montreal",A symbol of the duality between reason and imagination,"['#Canada', '#2014', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/150/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/150,Ecole de technologie supí©rieure,,Jean Dubois / Ghyslain Gagnon,,,,,Martin Professional A/S,Kollision,,,,,"situated along the main river, during the Luminale 2012","Passersby were invited to take part in the festival by manipulating the veil of light via their smartphone, adding an ethereal and vivid tangibility to the building after sundown.",,,,,,,,,,,,,,,,40 mm pixel pitch,,
PHOTOPHORE,2012,"Germany, Frankfurt",Photophore - Smart light interaction,"['#Germany', '#2012', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/151/2_big.jpg,https://awards.mediaarchitecture.org/mab/project/151,,,Katja Winkelmann and Jochen Schröder,,"Francis Krahe &amp; Associates, Inc. - Los Angeles, CA",,,Ecue,Ecue,Traxon Technologies,"The lighting system consists of LED bands, mounted between exterior glass wall mullion.","Reflectorized housings, designed and placed to project lighting effects outward are not visible from within. LED band lengths consistently maintain a maximum gap between fixture and window frame of less than 15mm. The building's unique curvilinear form and multiple window dimensions, required precise calculations and a flexible mounting solution, resulting in a variety of 16 different lengths.","The 10,000 LED units across three towers are controlled by a central computer, project animated graphics across the building skin from mpg or avi file format. More than 25km of data cabling connect individual LED units in a networked array, addressing each 300mm pixel and mapping those points to a central processor, controlling the lighting effects of each tower independently or in unison.",Pre-programmed effects are deployed at specific time intervals to respond to time-of-day as well as to mark culturally significant holidays and celebrations.,"Typically displaying burning flames, the intelligent control system allows for simple lighting show changes for subtle, dynamic artistic expressions and as well as broadcasting of significant local events and messages.",,DIA Holding,,,,,,,,,,HOK Architects,,,,300mm,"LED boards, custom populated with red, green, blue and red, green, amber diodes, provide a full spectrum of color even when viewed through the highly reflective, color-tinted glazing. The resulting system allows for a smooth, fluid animation, enabling the use of any media to be transferred into the projection system.",
BOXLEDS,2010,"Austria, Vienna",Boxes that blink,"['#Austria', '#2010', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/154/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/154,realitylab,,,,,,,,,,,,,,,,,Media Architecture Institute,,,,,,,,,,,,,,,
"ORKHESTRA, ORCHESTRATING THE DEPTH OF LIGHT",2014,"Germany, Frankfurt",None,"['#Germany', '#2014', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/157/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/157,,,,,,,,,,"UCL: Ana Moutinho, and Ava Fatah. Holition: Shanaka Senevirathne, Chirag Grover and Russell Freeman",The aim is to create new spatial and social narratives and engage people with invisible aspects of their environment through the animated character's movement and behavior.,,"In the Augmented Reality View, the user follows a walking 3D digital character, which guides the user in the exact direction of selected places, following a defined route. The character responds to the users' movements, altering its pose, speed and animation based on the users distance.","the system chooses the shortest path between the user location and the selected places and shows a path over a 2D map. In the AR View the user has the choice to enable or disable a 2D map overlay, registered to the real visualized world",,,"Ava Fatah, The Bartlett, University College London and Jonathan Chippendale, Holition.",,,,,,,,,,,,,,,,
AUGMENTED URBAN REALITY,2014,"United Kingdom, London",Augmented Urban Reality: Arts Trail 2014,"['#United Kingdom', '#2014', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/158/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/158,University College London in collaboration with Holition Ltd,,University College London in collaboration with Holition Ltd,,,,,,,,The media faíçade at the entrance gates are installed at the inside of the building behind the glass faíçade. Aluminium panels are used to hold the LED pixels.,,,"The Wanda Plaza, as a new landmark of the city of Tangshan, wants to show with this media entrances that it - also at night - has a leading position in the commercial industry.","The media faíçades shows the logo of the Wanda Group. its company name and messages from the group. Also some animations are shown, eg. ocean life.",,,,,,,,,,,,,,,,100 mm,Medium brightness.,
TRAIN STATION FALKENBERG,2013,"Germany, Falkenberg / Elster",Train station Falkenberg,"['#Germany', '#2013', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/160/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/160,City of Falkenberg / Elster,Christoph Wagner Architects,Christoph Wagner Architects,,"Motoko Ishii Lighting Design, Japan",,,"Daktronics Inc, USA","Daktronics Inc, USA","Greenhouse Core, China; Nam HyoJun, Korea",Curtain wall with aluminum profiles exterior to the glass faíçade.,Building faíçade: LED linear lighting profiles made at custom length to integrate horizontally in between mullions of the curtain wall. LED linear lighting profiles are attached to the bottom of aluminum fins. Light is transmitted directly from LEDs. Building Outline: LED linear lighting profiles attached to the front and rear sides of the fin that runs the outline of the building.,"Low Resolution -- LED elements are integrated onto the fins of the building. The LEDs do not reflect off the fins or the building. The left and right side building outline are each 3,472 pixels tall and the roof-line is 1,152 pixels wide. There are also 22,432 pixels on the front and rear faces which is symmetrical.",The building can be seen 360 degrees from several kilometers away,"Not intended as an advertising medium, the dynamic faíçade is used to communicate artistic or other impressionistic full-color images to illustrate the building within the skyline.",,China State Construction Engineering Corporation; Shanghai Construction Group,,,,,,,,,,"ALT Cladding, China; Permasteelisa Group, China",,,,62.5mm on LED element; ~4m between horizontal lines of LED elements,Low Brightness: the faíçade is being used from dusk until 10p.m. weeknights; from dusk until 12 p.m. weekends.,
SHANGHAI WORLD FINANCIAL CENTER (SWFC),2013,"China, Shanghai",World's highest dynamic media faíçade.,"['#China', '#2013', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/161/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/161,"Mori Building Company, Japan","ECADI, China; Shanghai Modern Architectural Design Company, China","Kohn Pedersen Fox Associates, USA; Irie Miyake Architects and Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL LIBRARY,2006,"Belarus, Minsk",A library inside a sparkling diamond,"['#Belarus', '#2006', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/169/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/169,Public Building,Victor Karmaenko,,,Claudia Paz Studio,,,"Color Kinetics, Philips","LCE2 FX by e:cue , OSRAM / Video System Engine by Philips CK","Claudia Paz Studio, Nicholas Cheung Studio,Color Burst, Chris Plant (VVVV Programmer)","Composed by three layers, the first is the reflective glass curtain wall, the second is an iron structure that allows to walk between the first and third layer for maintenance. The third consists of 532 iron poles named ""needles"" perpendicular to the faíçade. It is the principle structure of the 3D mesh formed with 2570 units of a custom 10 LED strips. The 3D Mesh formed a 19 x 28 grid.","The faíçade design consists of six layers of LEDs, brighter nodes in the first layer and finer points of light in the next five layers of LEDs. Two deliberate grids; one bright, bold and sparse for dramatic moments, the other concentrated and subtle for nuanced sculptural effects. The content has been designed to take advantage of this optical illusion, producing beautiful interactive effects.","Low resolution- 25.650 RGB pixels, in the first 5 layers, with nodes of 1.5 watts each. The 6th layer has 532 pixels of 25 watts each. This faíçade runs in two modes, interactive and standalone. In both modes, the grid makes organic movements that transforms the faíçade of the building every night.","Situated on a busy junction and visible across the city skyline. It stands out as a visual icon contributing to everyone's experience regardless of their distance. The project is a public artwork intervention that contributes to the wider urban fabric. Such key spaces could become a highlight for the extraordinary, as well as places for social participation.","The different shows provide a canvas for emotional expression and experience. The installation gives people magical powers to create situations that are normally reserved for fantasy. The 'Magic Dust' allows you to throw and push luminescent particles through the faíçade with glittering sound effects. While with 'Rain', you can part the shower of light like with an umbrella. 'Sand' is in an organic manipulation of the faíçade, where shadow and form drift as dunes, followed by the sounds of the wind and shifting sands. 'Stars' provide the remarkable opportunity to dream up your own constellations in the middle of a bright city, each star appearing with an accoustic chime. 'Aurora' provides the opportunity to touch ephemeral strands of plasma, the supernatural becomes tangible together with harmonic resonances. 'Fireworks' provides the opportunity to initiate spontaneous bursts of sparkles and colour, whistling rockets rush upwards in the background with explosions in the foreground. 'Ripple' is a melody of piano notes that generates psychedelic oil drops which collide and mix into new compositions. 'Light Orchestra' transforms the building into a musical instrument of violins and cellos, allowing the public to compose their own symphony.",,Arquileds,,,,,,,,,,Felipe Ferrer Void Arquitects,,,,16.7cm in the vertical and 99cm in the horizontal,"The faíçade is only lit up at night with a specific schedule. Interactive from 6 pm to 10 pm, standalone mode from 10 pm to 1 am. In the weekends the interactive mode could run from 6pm to 1 am. The interactive shows and standalone shows are designed contrasting the high brightness and lower brightness, dimming the lights to create organic effects, shadows and perspective in the content.",
AFFINITY : INTERACTIVE ART INSTALLATION,2014,"Peru, Lima","BCP Affinity is an interactive three dimensional faíçade installation on the Banco de Crí©dito building in Lima, Peru.","['#Peru', '#2014', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/170/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/170,BCP - Banco de Credito del Peru,Felipe Ferrer -Void Arquitects,"Claudia Paz (Claudia Paz Studio), Cesar Castro (Arquileds), Nicholas Cheung",,,,,,,"concept, iteraction design, iOS application programming: Suse Miessner; Android application programming: Saurabh Pokhrel; openFrameworks applications running on the screens: Suse Miessner",,,,,,,,,,,,,,,,,,,,,,,
URBAN ALPHABETS,2012,"Finland, Helsinki",Urban Alphabets - Experience the city differently,"['#Finland', '#2012', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/171/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/171,,,Suse Miessner,,"realities:united, Berlin",,,"eCue, eldoLED",realities:united,,Complex 3-dimensional topography made of glass fibre reinforced concrete panels. Total surface area: approx. 1.300mÂ²,1.513 modular LED lights assembled into the faíçade's panels.,"1.314 bowls (i.e.""pixels"") varying in size between 0,10 and 91,7 m2 creating areas of varying resolution",Highly visible from city centre.,,,,,,,,,,,,,Nieto Sobejano Arquitectos in collaboration with realities:united,,,,,"Indirect lighting, use at night only.",
C4 ESPACIO DE CREACIÓN ARTÍSTICA CONTEMPORÁNEA,2012,"Spain, Cordoba",C4 - Building faíçade with an integrated light and media installation,"['#Spain', '#2012', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/172/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/172,Junta de Andalusia,"Nieto Sobejano Arquitectos, Madrid",,,anOtherArchitect Berlin in collaboration with Kollision,,,Martin LC Seriesâ„¢ LED panels,,,22m2 of LC Series LED panels were installed on the ceiling of the conference room,,,,"Twitter comments influenced the graphics in real time. The installation was based on a generic software platform that searched for keywords within a tweet and combined it with metadata (tweet-user, time code, geolocation, language, etc.) and then visualized the findings on the basis of a custom real-time graphical engine.",,,,,,,,,,,,,,,,40 mm pixel pitch,"75% during the presentation, 15% during the speakers' talk, and 100% during the break and at the end of the program.",
MARNIX 2000,1999,"Belgium, Brussels",Interactive Matrix,"['#Belgium', '#1999', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/175/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/175,BBL ING,Gordon Bunshaft,,,AHL Lighting,,,AHL Lighting,AHL Lighting,,,,,"The Golden Tower is a commercial building, which constitutes the landmark on ChangAn Street's. With its enormous building faíçade it can create widely seen effects.","The media faíçades shows colourful animations such as fireworks, Christmas trees etc.",,,,,,,,,,,,,,,,300 mm,High brightness,
SUBMERGENCE,2013,"Norway, United Kingdom, New Zealand, Australia, exhibited in Oslo/Geneva/Bristol/Vlissingen/Bremen/Cologne","Submergence, an immersive, walkthrough art installation","['#Norway', '#United Kingdom', '#New Zealand', '#Australia', '#2013', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/177/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/177,,,"Squidsoup (Anthony Rowe, Gaz Bushell, Chris Bennewith, Liam Birtles, Ollie Bown)",,realities:united,,,SE Lightmanagement AG,"John Dekron, Jeremy Rotsztain/ Mantissa, Ulrike Brückner/ Musterfirma, Peter Castine in collaboration with realities:united",,"Double layer faíçade construction with a non-transparent inner faíçade and an outer ""skin"" constructed from translucent Plexiglas panels covering the biomorphic building. BIX consists of a matrix of conventional circular fluorescent light tubes integrated in the Plexiglas faíçade of the Kunsthaus.",Fluorescent light tubes (custom fixtures),930 pixels on a total surface area of 900m2,Installation is integrated into the building's riverside frontage which faces the city,,,,,,,,,,,,,,,,,,Medium-high; used under twilight conditions and at night,
